CSA2010,tpop10,male10,female10,paa10,pwhite10,pasi10,p2more10,ppac10,phisp10,racdiv10,age5_10,age18_10,age24_10,age64_10,age65_10,hhs10,femhhs10,fam10,hhsize10,mhhi12,hh25inc12,hh40inc12,hh60inc12,hh75inc12,hhm7512,hhpov12,hhchpov12
Allendale/Irvington/S. Hilton,"16,217","7,246","8,971",88.2,8.3,0.5,1.3,0.5,1.3,22.9,6.6,18.4,10.3,51.9,12.8,"  6,098 ",63.6,35.9,2.6,"  33,177.66 ",37.8,19.0,14.5,10.5,18.3,19.8,35.9
Beechfield/Ten Hills/West Hills,"12,264","5,566","6,698",78.9,16.8,0.8,1.5,0.4,1.6,36.2,6.5,16.7,10.2,56.2,10.5,"  5,076 ",51.4,33.6,2.4,"  50,135.12 ",18.7,19.2,24.0,10.6,27.5,8.3,15.1
Belair-Edison,"17,416","7,891","9,525",86.9,9.9,0.5,1.1,0.3,1.2,24.6,6.9,20.2,10.9,54.0,8.0,"  6,174 ",63.7,40.6,2.9,"  46,743.28 ",26.3,17.8,19.5,14.7,21.6,12.5,25.5
Brooklyn/Curtis Bay/Hawkins Point,"14,243","6,981","7,262",35.9,47.8,1.7,4.1,0.7,9.8,66.7,10.2,18.2,11.1,53.5,7.1,"  5,204 ",51.0,39.5,2.6,"  33,526.36 ",35.0,23.3,18.1,11.6,12.0,23.8,37.6
Canton,"8,100","4,011","4,089",4.0,86.0,3.4,1.3,0.4,5.0,28.3,4.1,3.0,10.5,71.5,10.9,"  4,310 ",19.8,8.8,1.9,"  84,978.14 ",9.8,8.4,15.0,11.6,55.1,1.8,13.2
Cedonia/Frankford,"23,557","10,788","12,769",78.5,15.1,2.3,1.8,0.4,2.0,37.5,7.3,17.2,11.6,55.3,8.7,"  9,348 ",55.3,34.5,2.5,"  39,556.12 ",29.9,20.2,18.0,12.6,19.3,17.3,25.5
Cherry Hill,"8,202","3,343","4,859",95.1,1.6,0.2,1.1,0.3,1.6,11.2,11.4,24.3,12.1,43.8,8.4,"  3,145 ",80.7,45.4,2.6,"  22,980.54 ",48.3,20.5,11.9,10.1,9.3,40.8,55.3
Chinquapin Park/Belvedere,"7,756","3,527","4,229",69.0,23.2,1.7,1.8,0.6,3.7,49.5,7.2,14.2,11.1,56.2,11.5,"  3,359 ",51.5,29.3,2.3,"  42,852.96 ",27.8,19.1,17.0,10.9,25.2,9.4,13.0
Claremont/Armistead,"8,231","3,717","4,514",53.1,32.2,0.5,2.0,0.9,11.4,66.7,8.3,18.5,10.4,53.2,9.5,"  3,419 ",57.1,35.3,2.4,"  31,970.51 ",42.2,18.2,16.9,5.3,17.4,15.8,31.4
Clifton-Berea,"9,874","4,473","5,401",96.3,1.1,0.3,1.1,0.3,1.0,7.9,7.5,18.0,10.5,48.5,15.5,"  3,529 ",70.0,34.7,2.8,"  24,883.93 ",50.0,18.5,13.4,10.4,7.7,25.6,43.7
Cross-Country/Cheswolde,"13,034","5,956","7,078",20.4,72.1,3.7,1.2,0.4,2.2,44.3,9.1,18.4,9.8,43.5,19.2,"  5,341 ",19.5,27.6,2.4,"  55,840.22 ",19.2,13.7,21.2,9.8,36.2,11.7,16.3
Dickeyville/Franklintown,"4,101","1,733","2,368",87.8,8.2,0.5,1.0,0.6,1.9,23.4,8.3,18.2,11.7,53.1,8.7,"  1,877 ",66.8,34.5,2.2,"  32,487.00 ",40.3,18.0,22.2,6.6,12.8,22.8,30.3
Dorchester/Ashburton,"11,786","5,238","6,548",96.1,1.3,0.3,0.8,0.4,1.0,8.5,6.0,15.6,9.6,51.9,16.9,"  4,565 ",58.0,31.2,2.6,"  36,715.14 ",35.8,19.6,15.6,8.2,20.8,17.2,23.5
Downtown/Seton Hill,"6,446","3,164","3,282",37.0,39.2,15.9,2.8,0.6,4.5,68.8,3.4,4.6,20.6,67.6,3.8,"  3,676 ",59.0,8.6,1.6,"  41,365.85 ",42.3,17.7,16.3,9.5,14.3,20.1,58.6
Edmondson Village,"7,900","3,478","4,422",96.7,0.8,0.1,1.2,0.4,0.9,7.4,6.4,17.1,11.2,48.3,17.0,"  2,875 ",67.7,35.2,2.7,"  37,537.56 ",31.5,21.0,20.4,9.4,17.8,21.7,45.1
