CSA2010,Percent  Population 16-64 Employed (2008-2012),Percent  Population 16-64 Unemployed and Looking for Work (2008-2012),Percent  Population 16-64 Not in Labor Force (2008-2012),Unemployment Rate (2008-2012),Percent  Population (25 years and over) With Less Than a High School Diploma or GED (2008-2012),Percent  Population (25 years and over) With High School Diploma  (2008-2012),Percent  Population (25 years and over) with Some College or Bachelor's Degree or Higher (2008-2012),Percent of the Population that Work Outside of the City (2010),Percent of the Population that Work Outside of the City (2011),Total Number of Commercial Properties (2010),Total Number of Commercial Properties (2011),Total Number of Commercial Properties (2012),Percent of Commercial Properties with Rehab Permits Above $5000 (2010),Percent of Commercial Properties with Rehab Permits Above $5000 (2011),Percent of Commercial Properties with Rehab Permits Above $5000 (2012),Number of Banks and Bank Branches per 1000 Residents (2011),Number of Banks and Bank Branches per 1000 Residents (2012),Total Number of Businesses (2010),Total Number of Businesses (2011),Total Number of Businesses (2012),Total Number of Employees (2010),Total Number of Employees (2011),Total Number of Employees (2012),Number of Businesses with Under 50 Employees (2010),Number of Businesses with Under 50 Employees (2011),Number of Businesses with Under 50 Employees (2012),Percent of Businesses that are 1 year old or less (2010),Percent of Businesses that are 1 year old or less (2011),Percent of Businesses that are 1 year old or less (2012),Percent of Businesses that are 2 years old or less (2010),Percent of Businesses that are 2 years old or less (2011),Percent of Businesses that are 2 years old or less (2012),Percent of Businesses that are 4 years old or less (2010),Percent of Businesses that are 4 years old or less (2011),Percent of Businesses that are 4 years old or less (2012),Number  of Businesses by Selected Neighborhood Industry (NAICS Sectors) (2010),Number  of Businesses by Selected Neighborhood Industry (NAICS Sectors) (2011),Number  of Businesses by Selected Neighborhood Industry (NAICS Sectors) (2012),Neighborhood Businesses per 1000 residents (NAICS Sectors) (2010),Neighborhood Businesses per 1000 residents (NAICS Sectors) (2011),Neighborhood Businesses per 1000 residents (NAICS Sectors) (2012),Total number of Employees by Selected Neighborhood Industry (NAICS Sectors) (2010),Total number of Employees by Selected Neighborhood Industry (NAICS Sectors) (2011),Total number of Employees by Selected Neighborhood Industry (NAICS Sectors) (2012)
Allendale/Irvington/S. Hilton,57.7,13.6,29.1,19.2,24.5,64.5,11.0,60.3,59,279,278,284,13.3,8.6,13.7,0.0,0,269,237,253,2778,2502,2629,255,226,242,8.9,11.0,9.5,19.3,15.6,24.5,33.8,29.1,34.8,183,161,162,11.3,9.9,10.0,1503,1378,1370
Beechfield/Ten Hills/West Hills,66.9,10.1,23.2,13.3,14.2,63.5,22.3,62.5,66.9,47,47,46,25.5,27.7,4.3,0.1,0.1,154,136,141,1462,1329,1383,148,130,134,3.9,8.1,4.3,22.1,12.5,12.1,32.5,30.1,29.8,98,87,88,8.0,7.1,7.2,753,663,684
Belair-Edison,62.3,12.0,25.8,16.3,18.8,67.2,14.0,48.5,49.4,165,165,165,8.5,10.9,8.5,0.2,0.1,225,224,251,1590,1540,1605,217,217,244,8.9,12.1,7.6,22.7,18.8,23.5,31.6,31.3,38.6,172,172,189,9.9,9.9,10.9,1044,915,1008
Brooklyn/Curtis Bay/Hawkins Point,56.6,14.5,29.3,20.5,34.2,59.5,6.4,72.7,75.8,880,838,856,5.2,7.4,13.7,0.1,0.1,329,414,317,6127,6696,4945,297,386,291,2.7,7.5,6.9,10.9,15.0,14.8,21.9,30.7,23.0,161,208,153,11.3,14.6,10.7,1227,1463,1114
Canton,84.6,3.6,12.0,4.0,8.6,30.2,61.2,53.7,50.5,205,210,208,14.1,13.3,13.5,0.5,0.2,314,322,364,2653,2516,2921,307,316,352,7.6,10.9,11.5,17.8,17.7,26.1,33.4,34.2,39.0,214,230,248,26.4,28.4,30.6,2029,1887,2211
Cedonia/Frankford,65.3,9.6,25.0,12.9,20.0,68.1,11.9,53.1,50,231,231,231,7.8,9.5,6.9,0.3,0.1,426,379,407,3281,2935,2963,414,368,397,9.4,10.6,9.8,22.3,17.7,21.1,36.2,33.5,35.6,316,280,297,13.4,11.9,12.6,2255,1998,2073
Cherry Hill,51.3,14.7,34.3,22.3,23.3,69.6,7.1,57.1,53.2,91,93,93,29.7,38.7,23.7,0.0,0.0,88,138,100,872,1198,1190,84,132,95,3.4,9.4,5.0,5.7,18.8,16.0,14.8,26.8,21.0,47,85,56,5.7,10.4,6.8,353,625,641
Chinquapin Park/Belvedere,69.5,9.3,21.4,11.9,13.2,52.9,33.9,55.1,48.4,57,57,56,10.5,17.5,21.4,0.3,0.4,140,128,145,1170,1153,1211,136,124,140,5.7,7.0,9.7,21.4,10.9,20.0,32.1,28.9,35.2,106,99,107,13.7,12.8,13.8,880,868,891
Claremont/Armistead,61.5,9.2,29.7,13.1,25.9,65.4,8.7,56.7,61.6,183,182,186,10.4,7.7,9.1,0.0,0,177,185,190,2681,3024,2749,162,168,176,7.3,7.0,7.9,14.7,14.1,16.8,27.7,26.5,28.4,76,77,86,9.2,9.4,10.4,1124,1243,1137
Clifton-Berea,46.5,12.1,42.1,21.0,27.6,64.0,8.4,49.1,45.8,149,149,150,6.7,4.7,19.3,0.0,0,182,169,164,2009,1487,1448,173,161,156,4.9,7.7,5.5,15.9,11.2,13.4,34.1,29.0,26.2,132,126,120,13.4,12.8,12.2,709,732,721
