CSA2010,crime10,crime11,crime12,viol10,viol11,viol12,prop11,prop12,juvarr11,juvviol11,juvdrug11,domvio10,domvio11,shoot11,caslt11,narc11,caracc11,gunhom11,gunhom12
Allendale/Irvington/S. Hilton,40.6,46.2,45.4,12.6,12.5,13.9,33.7,31.6,54.8,12.4,22.2,59.4,65.4,2.5,84.4,78.8,44.0,0.2,0.6
Beechfield/Ten Hills/West Hills,33.6,36.1,36.6,8.4,7.2,7.0,28.9,29.6,22.0,9.1,5.3,47.9,44.8,2.0,51.2,24.7,31.9,0.2,0.2
Belair-Edison,50.3,57.1,52.7,13.3,14.1,14.9,43.0,37.7,54.8,17.5,16.2,51.1,57.8,1.5,77.6,50.2,45.4,0.3,0.3
Brooklyn/Curtis Bay/Hawkins Point,81.7,79.1,62.1,25.3,21.3,15.2,57.8,46.9,83.3,16.8,30.8,68.0,74.1,2.9,158.5,101.1,39.9,0.3,0.2
Canton,61.0,64.8,57.9,8.3,7.7,6.7,57.2,51.2,81.5,14.8,7.4,34.3,39.6,0.0,46.2,4.0,32.8,0.0,0.0
Cedonia/Frankford,43.7,48.4,46.7,12.0,11.3,12.1,37.1,34.6,46.5,9.5,10.7,60.2,70.2,0.8,10.7,22.8,26.5,0.3,0.3
Cherry Hill,60.0,64.7,59.1,22.6,22.2,19.6,42.6,39.5,61.6,13.8,29.4,62.9,71.1,6.0,110.2,97.4,25.2,0.5,0.4
Chinquapin Park/Belvedere,43.6,33.4,44.5,12.6,7.1,9.0,26.3,35.5,37.9,10.2,7.3,39.7,44.2,0.3,60.1,17.9,38.9,0.0,0.4
Claremont/Armistead,52.6,63.2,49.0,13.2,12.6,8.9,50.5,40.1,18.7,7.7,3.3,60.4,68.8,0.9,10.9,19.9,60.1,0.1,0.1
Clifton-Berea,57.9,61.0,56.4,23.3,23.5,20.0,37.5,36.5,144.9,33.2,63.7,49.7,63.5,7.3,121.0,201.9,47.0,0.6,0.8
Cross-Country/Cheswolde,15.4,15.3,14.7,1.8,1.2,1.2,14.0,13.5,13.8,1.4,0.0,22.6,19.4,0.0,12.2,1.6,9.6,0.0,0.0
Dickeyville/Franklintown,49.5,42.2,38.0,7.1,6.1,8.5,36.1,29.5,29.5,6.8,11.3,55.4,57.5,1.0,67.5,19.3,51.0,0.0,0.5
Dorchester/Ashburton,52.4,50.7,48.7,15.4,16.4,13.5,34.3,35.2,56.3,11.8,14.3,51.6,49.0,2.3,82.7,82.8,45.8,0.3,0.3
Downtown/Seton Hill,424.4,417.4,331.4,97.9,94.1,64.8,323.3,266.5,1005.6,355.6,227.8,91.9,102.2,12.0,599.1,389.8,550.2,0.5,0.2
Edmondson Village,28.5,40.5,43.8,8.2,10.1,11.1,30.4,32.7,58.7,7.8,29.9,43.4,43.2,2.0,60.6,82.2,28.7,0.5,0.3
Fells Point,62.3,87.8,91.0,13.5,17.5,17.5,70.4,73.6,27.5,3.9,3.9,40.5,39.9,0.6,74.8,13.5,49.9,0.0,0.0
Forest Park/Walbrook,48.7,45.3,46.8,10.4,11.8,11.8,33.5,35.0,27.4,4.7,5.7,51.4,51.1,3.5,74.1,91.1,31.6,0.6,0.8
Glen-Fallstaff,53.6,51.6,55.0,11.7,11.4,13.3,40.2,41.6,41.4,4.8,8.3,47.2,49.3,0.5,70.7,54.0,72.6,0.1,0.0
Greater Charles Village/Barclay,74.3,67.3,69.2,17.1,15.2,16.2,52.1,53.0,324.0,98.0,46.0,43.3,41.3,1.7,76.4,59.7,53.9,0.2,0.3
Greater Govans,42.2,38.2,44.4,12.1,9.2,11.2,29.0,33.1,39.8,13.9,13.9,45.0,42.6,2.4,66.9,51.5,34.1,0.2,0.3
Greater Mondawmin,112.4,107.1,98.6,24.8,22.0,27.6,85.1,71.0,144.4,22.0,38.7,62.5,65.5,3.0,132.5,169.9,108.3,0.2,0.4
Greater Roland Park/Poplar Hill,32.1,28.6,29.4,2.0,3.7,2.0,24.9,27.4,21.6,9.3,3.1,32.5,29.0,0.1,15.6,1.6,69.3,0.0,0.0
Greater Rosemont,63.5,66.4,60.0,19.5,19.0,16.9,47.4,43.1,107.9,21.6,36.7,64.3,62.6,4.2,114.8,148.0,37.7,0.4,0.6
Greenmount East,57.4,67.4,87.5,19.7,22.7,26.1,44.7,61.3,116.6,7.2,66.0,50.0,63.1,5.9,133.1,222.5,80.9,0.5,1.3
