CSA2010,eattend10,eattend11,eattend12,mattend10,mattend11,mattend12,hsattend10,hsattend11,hsattend12,eenrol11,eenrol12,menrol11,menrol12,hsenrol11,hsenrol12,aastud10,aastud11,aastud12,wstud10,wstud11,wstud12,hstud10,hstud11,hstud12,abse10,abse11,abse12,absmd10,absmd11,absmd12,abshs10,abshs11,abshs12,susp10,susp11,susp12,farms10,farms11,farms12,sped10,sped11,sped12,ready11,ready12,math310,math311,math312,read310,read311,read312,math510,math511,math512,read510,read511,read512,math810,math811,math812,read810,read811,read812,hsaeng10,hsaeng11,hsaeng12,hsabio10,hsabio11,hsabio12,hsagov10,hsagov11,hsaalg10,hsaalg11,hsaalg12,drop10,drop11,drop12,compl10,compl11,compl12,sclsw11,sclsw12,sclemp12
Allendale/Irvington/S. Hilton,1118,1037,999,747,624,586,1064,930,862,965,973,582,568,852,833,94.9,93.9,93.0,2.9,3.5,3.9,0.8,1.5,2.1,14.7,20.6,15.6,28.8,20.0,14.7,41.2,38.3,39.0,9.5,10.4,10.0,86.1,86.1,79.3,16.9,16.7,17.3,68.4,70.6,67.2,73.5,69.8,59.6,60.9,59.6,67.0,55.9,65.0,76.1,69.2,81.0,23.7,27.9,38.0,45.1,54.4,62.4,38.0,34.1,32.3,41.0,31.2,32.2,53.0,46.0,19.9,20.6,17.9,3.8,4.9,2.7,80.3,83.9,78.1,6.8,9.6,71.0
Beechfield/Ten Hills/West Hills,574,647,605,349,351,370,511,516,494,597,583,317,364,463,474,95.4,95.6,95.6,2.1,2.5,2.5,0.6,1.2,1.1,6.4,17.9,9.9,11.7,11.1,10.3,29.9,31.4,29.1,8.1,6.7,8.4,76.3,77.8,69.6,12.7,12.9,14.0,44.2,71.8,76.7,75.9,73.6,69.9,69.2,73.8,79.8,63.2,74.6,88.3,78.7,80.3,29.2,39.6,39.8,56.7,77.0,66.7,43.6,37.1,36.8,47.6,41.3,45.9,60.1,52.3,24.6,22.7,28.1,2.0,1.9,3.0,85.9,80.3,82.1,5.1,5.6,81.1
Belair-Edison,1162,1241,1174,831,773,746,1219,1178,1126,1160,1141,741,723,1084,1091,96.9,97.0,96.7,1.3,1.5,1.4,0.3,0.7,1.2,14.0,18.9,16.8,12.4,13.1,14.9,41.1,44.0,41.5,9.9,8.6,8.7,85.5,84.4,78.8,16.0,16.7,17.4,69.0,57.6,76.9,68.1,70.4,69.8,67.7,62.2,74.8,60.3,70.1,79.0,69.8,76.4,30.6,44.8,38.0,57.3,65.6,57.5,32.5,33.4,32.2,36.9,33.7,32.7,39.0,40.7,23.0,18.7,18.6,4.0,4.2,3.8,82.9,79.9,77.4,7.2,7.6,78.5
Brooklyn/Curtis Bay/Hawkins Point,1011,1093,997,525,481,479,615,537,552,966,933,420,446,474,534,58.9,58.3,58.2,31.1,31.6,30.2,6.6,8.3,9.5,19.6,19.8,20.1,21.3,24.5,24.0,36.3,46.9,48.2,8.0,6.7,7.6,85.8,88.5,78.5,20.3,18.5,18.6,42.9,84.2,82.4,75.9,78.0,74.5,69.2,63.2,70.8,60.9,63.1,81.2,74.0,72.5,32.5,26.5,38.0,56.3,68.1,62.8,39.2,36.8,30.9,45.4,37.7,46.2,55.6,48.4,30.5,25.5,21.3,5.2,3.5,4.8,78.5,75.4,70.5,6.2,8.0,91.9
Canton,90,76,89,32,37,38,49,37,30,69,82,32,36,30,26,19.6,17.2,19.1,59.8,54.6,51.3,17.5,19.0,21.1,7.8,6.6,6.7,21.9,13.5,13.2,22.4,29.7,20.0,8.5,7.5,3.5,73.5,71.0,61.8,17.5,14.9,11.6,84.2,45.5,100.0,75.0,88.9,90.0,83.3,77.8,81.8,50.0,76.9,100.0,71.4,92.3,77.8,66.7,45.5,88.9,75.0,72.7,42.9,30.8,55.6,50.0,25.0,78.6,18.2,63.6,39.3,42.9,37.5,4.1,8.1,0.0,75.0,66.7,100.0,2.7,1.9,92.1
Cedonia/Frankford,1284,1451,1425,729,844,758,1477,1315,1251,1309,1337,767,734,1178,1182,91.3,88.5,86.3,3.5,4.2,4.1,0.9,1.2,1.8,10.5,13.8,10.0,9.1,12.1,13.5,35.5,36.3,32.0,9.1,6.7,6.8,80.5,80.9,73.1,16.9,15.7,16.0,75.4,74.6,65.7,72.1,71.5,55.8,66.0,62.9,67.9,58.6,72.2,72.9,74.9,67.7,31.9,41.3,36.1,52.2,59.5,53.6,31.0,30.2,31.4,39.4,34.1,32.7,44.2,41.1,22.7,21.1,18.7,2.6,3.0,3.8,82.1,82.3,83.9,5.2,6.5,90.2
Cherry Hill,833,818,845,412,391,420,584,547,514,778,817,370,412,507,493,97.6,97.9,96.9,0.5,0.8,1.0,0.0,0.7,1.6,14.3,21.5,18.9,17.0,19.2,19.5,44.2,50.6,46.7,10.5,7.2,10.5,91.3,92.3,88.5,19.6,17.7,17.9,68.3,82.1,69.6,57.9,64.7,68.5,54.1,56.7,64.3,52.3,64.1,67.5,55.7,67.3,34.0,32.7,29.7,54.9,57.0,45.9,29.7,29.6,27.2,32.0,27.2,36.4,43.6,40.7,23.2,25.0,21.9,3.9,4.9,3.2,76.4,85.3,84.4,8.9,9.6,86.2
Chinquapin Park/Belvedere,381,391,388,228,216,207,351,338,306,368,369,203,199,301,291,93.3,91.7,90.4,3.6,4.7,4.8,0.4,2.0,2.7,10.5,12.3,10.6,9.2,10.6,6.3,34.5,29.6,31.7,6.5,7.2,8.0,79.6,75.7,68.1,15.4,16.7,16.6,68.1,73.1,86.6,87.0,89.4,82.1,83.1,80.6,73.8,75.0,79.5,87.7,83.8,83.3,30.3,37.3,41.5,42.4,51.7,59.7,44.7,38.1,31.3,44.0,32.7,35.8,47.1,56.2,22.7,23.6,14.8,4.3,2.4,2.6,76.4,84.1,82.4,5.6,7.3,82.3
Claremont/Armistead,538,605,575,267,259,274,343,356,338,548,557,234,257,309,323,58.7,57.4,56.2,23.8,20.9,19.2,14.4,18.6,21.6,14.1,12.7,9.9,15.4,13.9,12.4,41.4,44.7,42.0,4.8,4.8,3.8,81.9,86.6,81.0,15.6,13.6,13.8,77.6,86.8,82.9,86.5,83.5,57.3,77.7,68.7,70.1,72.6,75.0,83.6,77.9,77.4,32.6,43.2,48.7,56.2,60.8,67.6,27.3,35.9,32.5,51.9,46.0,38.7,48.2,43.1,28.6,21.6,22.2,3.2,1.4,6.1,80.3,81.5,78.4,4.9,6.4,84.4
Clifton-Berea,879,787,754,523,439,426,784,678,588,734,734,410,420,605,577,98.2,98.6,98.4,0.3,0.6,0.7,0.4,0.5,0.5,15.4,23.0,16.6,18.0,21.0,21.6,42.2,48.5,51.0,10.4,11.3,10.2,89.9,91.9,82.9,16.8,16.3,15.9,69.4,78.1,62.5,77.7,57.5,62.5,67.6,48.9,64.6,53.9,50.7,70.8,61.7,52.1,25.2,33.6,26.9,42.8,53.9,43.9,24.5,26.1,23.0,33.5,25.8,29.5,40.2,34.3,23.1,20.0,20.3,4.6,5.5,6.0,77.7,80.8,81.3,8.9,9.9,82.5
