CSA2010,regvote10,regvote12,voted10,voted12,dirtyst10,dirtyst11,dirtyst12,clogged10,clogged11,clogged12,drvalone12,carpool12,pubtran12,walked12,trav14_12,trav29_12,trav44_12,trav45_12,trees07,cmos11,waterc11,heatgas12,elheat12,novhcl12,weather10,weather11,weather12,wlksc11,bkln12,othrcom12
Allendale/Irvington/S. Hilton,83.4,82.8,45.3,57.0,41.7,41.0,48.1,4.2,4.6,6.2,61.7,12.1,19.9,4.5,12.7,40.0,25.7,21.6,32.7,6,16,68.1,18.9,31.0,0.5,0.4,0.4,44.0,2.4,1.7
Beechfield/Ten Hills/West Hills,79.7,81.6,52.6,61.9,10.5,12.2,13.9,3.4,3.3,4.8,75.9,8.6,13.2,1.7,15.2,45.3,25.0,14.5,48.1,7,17,76.9,14.4,16.0,0.5,0.3,0.4,32.5,4.2,0.7
Belair-Edison,81.7,83.2,46.6,59.8,90.2,66.3,79.1,4.1,6.1,3.8,66.9,12.2,16.3,2.7,10.1,38.3,32.0,19.6,20.1,6,17,71.8,11.2,27.2,0.6,0.3,0.6,62.3,0.2,1.8
Brooklyn/Curtis Bay/Hawkins Point,53.6,53.3,30.1,28.3,91.5,112.1,82.8,4.2,5.8,5.5,51.9,20.0,20.7,3.5,22.6,28.8,28.0,20.5,15.1,7,17,70.1,23.0,33.8,1.4,9.1,0.9,17.7,3.2,3.9
Canton,79.5,71.5,43.2,52.0,32.8,38.5,38.3,6.3,8.9,5.9,80.6,3.8,6.2,5.8,18.5,44.8,23.5,13.2,9.6,3,12,65.8,29.7,11.0,0.0,0.0,0.1,89.2,2.8,3.6
Cedonia/Frankford,73.9,78.5,46.6,56.2,22.5,24.2,24.3,2.5,5.6,3.1,68.5,12.1,17.2,1.7,10.1,40.0,27.4,22.6,28.8,6,18,73.4,18.1,25.2,0.4,0.3,0.6,57.4,2.2,0.5
Cherry Hill,82.5,82.3,34.9,53.1,11.7,12.7,7.2,1.2,3.7,2.9,42.8,17.9,37.3,2.0,17.1,37.0,20.2,25.7,19.0,0,17,63.8,30.1,51.0,15.7,74.4,8.1,38.1,2.8,0.0
Chinquapin Park/Belvedere,83.2,85.9,51.2,61.9,26.3,32.1,47.3,5.0,4.3,6.1,71.6,8.5,10.6,6.6,21.7,36.2,23.7,18.4,39.4,3,15,70.2,21.7,21.8,0.4,0.3,0.6,74.6,0.8,2.8
Claremont/Armistead,60.7,60.9,37.8,39.0,8.1,12.6,17.1,1.6,2.9,3.0,64.5,14.1,18.4,2.4,13.5,25.6,35.8,25.1,28.0,1,25,82.1,16.1,26.1,1.0,0.5,0.7,31.0,1.3,0.6
Clifton-Berea,91.5,89.5,40.3,57.5,167.2,171.9,167.7,10.9,9.9,9.9,46.1,12.7,38.5,1.8,11.8,32.7,28.9,26.6,8.3,25,14,65.6,16.8,49.3,0.4,0.4,0.3,58.3,0.5,1.0
